outcome,timepoint,condition,n_reported_in_text,change_score_reported_in_text
discomfort,baseline,distinction,12,
discomfort,baseline,hierarchy,12,
discomfort,postinduction,distinction,12,15.67
discomfort,postinduction,hierarchy,12,13.42
discomfort,postintervention,distinction,12,-16.12
discomfort,postintervention,hierarchy,12,-16.34
anxiety,baseline,distinction,12,
anxiety,baseline,hierarchy,12,
anxiety,postinduction,distinction,12,14.14
anxiety,postinduction,hierarchy,12,7.33
anxiety,postintervention,distinction,12,-17.41
anxiety,postintervention,hierarchy,12,-12.91
stress,baseline,distinction,12,
stress,baseline,hierarchy,12,
stress,postinduction,distinction,12,8.84
stress,postinduction,hierarchy,12,9.42
stress,postintervention,distinction,12,-9.82
stress,postintervention,hierarchy,12,-13.82